Field(Oe), Temperature(K), Resisitivity(Ohm), Capacitance(pF), Loss(nS), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
56456.273, 269.9985, 59.3551140,  4.20882     ,  0.00100     , 31, 62, 1282, 250, 1625
55889.637, 270.0013, 59.3547745,  4.20894     ,  0.00093     , 63, 250, 1281, 281, 1875
55392.949, 270.0013, 59.3527336,  4.20899     ,  0.00098     , 31, 406, -58718, 203, -58078
55002.520, 270.0027, 59.3543205,  4.20906     ,  0.00090     , 46, 172, 1282, 343, 1843
54482.641, 270.0043, 59.3543205,  4.20920     ,  0.00095     , 32, 296, 1282, 234, 1844
53976.258, 270.0002, 59.3536415,  4.20926     ,  0.00098     , 31, 78, 1281, 282, 1672
53475.953, 270.0017, 59.3557930,  4.209342    ,  0.00090     , 32, 328, 1281, 281, 1922
52955.125, 269.9917, 59.3551140,  4.209384    ,  0.00094     , 47, 188, 1281, 281, 1797
52589.406, 269.9945, 59.3555679,  4.209463    ,  0.00106     , 31, 109, 1282, 343, 1765
52088.727, 269.9987, 59.3511925,  4.209549    ,  0.00095     , 46, 313, 1281, 297, 1937
51569.230, 270.0010, 59.3507423,  4.209613    ,  0.00086     , 47, 359, 1281, 282, 1969
51179.367, 270.0032, 59.3507423,  4.209696    ,  0.00100     , 32, 109, 1281, 282, 1704
50614.438, 270.0042, 59.3519859,  4.209806    ,  0.00100     , 47, 359, 1281, 235, 1922
50108.816, 270.0049, 59.3524399,  4.209859    ,  0.00091     , 47, 62, 1281, 250, 1640
49630.184, 270.0036, 59.3524399,  4.209922    ,  0.00085     , 46, 110, 1281, 328, 1765
49272.449, 270.0050, 59.3524399,  4.209996    ,  0.00093     , 62, 94, 1281, 250, 1687
48794.391, 270.0023, 59.3513069,  4.210087    ,  0.00100     , 31, 63, 1281, 265, 1656
48318.418, 270.0004, 59.3519859,  4.210160    ,  0.00086     , 47, 78, 1281, 312, 1718
47812.035, 269.9999, 59.3509674,  4.210270    ,  0.00094     , 32, 390, 1281, 282, 1985
47291.965, 269.9994, 59.3522148,  4.210368    ,  0.00096     , 79, 93, 1282, 328, 1782
46793.000, 269.9979, 59.3518753,  4.210459    ,  0.00090     , 31, 390, 1282, 203, 1921
